ID	Entrez GeneID	Symbol	Name
AOX1	316	AOX1	Aldehyde oxidase 1
AOX2P	344454	AOX2P	Aldehyde oxidase 2 pseudogene
AP1AR	55435	AP1AR	Adaptor-related protein complex 1 associated regulatory protein
AP1B1	162	AP1B1	"Adaptor-related protein complex 1, beta 1 subunit"
AP1B1P1	23782	AP1B1P1	"Adaptor-related protein complex 1, beta 1 subunit pseudogene 1"
AP1G1	164	AP1G1	"Adaptor-related protein complex 1, gamma 1 subunit"
AP1G2	8906	AP1G2	"Adaptor-related protein complex 1, gamma 2 subunit"
AP1M1	8907	AP1M1	"Adaptor-related protein complex 1, mu 1 subunit"
AP1M2	10053	AP1M2	"Adaptor-related protein complex 1, mu 2 subunit"
AP1S1	1174	AP1S1	"Adaptor-related protein complex 1, sigma 1 subunit"
AP1S2	8905	AP1S2	"Adaptor-related protein complex 1, sigma 2 subunit"
AP1S3	130340	AP1S3	"Adaptor-related protein complex 1, sigma 3 subunit"
AP2A1	160	AP2A1	"Adaptor-related protein complex 2, alpha 1 subunit"
AP2A2	161	AP2A2	"Adaptor-related protein complex 2, alpha 2 subunit"
AP2B1	163	AP2B1	"Adaptor-related protein complex 2, beta 1 subunit"
AP2M1	1173	AP2M1	"Adaptor-related protein complex 2, mu 1 subunit"
AP2S1	1175	AP2S1	"Adaptor-related protein complex 2, sigma 1 subunit"
AP3B1	8546	AP3B1	"Adaptor-related protein complex 3, beta 1 subunit"
AP3B2	8120	AP3B2	"Adaptor-related protein complex 3, beta 2 subunit"
AP3D1	8943	AP3D1	"Adaptor-related protein complex 3, delta 1 subunit"
AP3M1	26985	AP3M1	"Adaptor-related protein complex 3, mu 1 subunit"
AP3M2	10947	AP3M2	"Adaptor-related protein complex 3, mu 2 subunit"
AP3S1	1176	AP3S1	"Adaptor-related protein complex 3, sigma 1 subunit"
AP3S2	10239	AP3S2	"Adaptor-related protein complex 3, sigma 2 subunit"
AP4B1	10717	AP4B1	"Adaptor-related protein complex 4, beta 1 subunit"
AP4E1	23431	AP4E1	"Adaptor-related protein complex 4, epsilon 1 subunit"
AP4M1	9179	AP4M1	"Adaptor-related protein complex 4, mu 1 subunit"
AP4S1	11154	AP4S1	"Adaptor-related protein complex 4, sigma 1 subunit"
AP5B1	91056	AP5B1	"Adaptor-related protein complex 5, beta 1 subunit"
APAF1	317	APAF1	Apoptotic peptidase activating factor 1
APBA1	320	APBA1	"Amyloid beta (A4) precursor protein-binding, family A, member 1"
APBA2	321	APBA2	"Amyloid beta (A4) precursor protein-binding, family A, member 2"
APBA3	9546	APBA3	"Amyloid beta (A4) precursor protein-binding, family A, member 3"
APBB1	322	APBB1	"Amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"
APBB1IP	54518	APBB1IP	"Amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein"
APBB2	323	APBB2	"Amyloid beta (A4) precursor protein-binding, family B, member 2"
APBB3	10307	APBB3	"Amyloid beta (A4) precursor protein-binding, family B, member 3"
APC	324	APC	Adenomatous polyposis coli
APC2	10297	APC2	Adenomatosis polyposis coli 2
APCDD1	147495	APCDD1	Adenomatosis polyposis coli down-regulated 1
APCDD1L	164284	APCDD1L	Adenomatosis polyposis coli down-regulated 1-like
APCS	325	APCS	"Amyloid P component, serum"
APEH	327	APEH	N-acylaminoacyl-peptide hydrolase
APEX1	328	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1
APEX2	27301	APEX2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2
APH1A	51107	APH1A	Anterior pharynx defective 1 homolog A (C. elegans)
APH1B	83464	APH1B	Anterior pharynx defective 1 homolog B (C. elegans)
API5	8539	API5	Apoptosis inhibitor 5
APIP	51074	APIP	APAF1 interacting protein
APITD1	378708	APITD1	"apoptosis-inducing, TAF9-like domain 1"
APITD1-CORT	100526739	APITD1-CORT	APITD1-CORT readthrough
APLF	200558	APLF	Aprataxin and PNKP like factor
APLN	8862	APLN	Apelin
APLNR	187	APLNR	Apelin receptor
APLP1	333	APLP1	Amyloid beta (A4) precursor-like protein 1
APLP2	334	APLP2	Amyloid beta (A4) precursor-like protein 2
APOA1	335	APOA1	Apolipoprotein A-I
APOA1BP	128240	APOA1BP	Apolipoprotein A-I binding protein
APOA2	336	APOA2	Apolipoprotein A-II
APOA4	337	APOA4	Apolipoprotein A-IV
APOA5	116519	APOA5	Apolipoprotein A-V
APOB	338	APOB	Apolipoprotein B (including Ag(x) antigen)
APOBEC1	339	APOBEC1	"Apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1"
APOBEC2	10930	APOBEC2	"Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2"
APOBEC3A	200315	APOBEC3A	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A"
APOBEC3B	9582	APOBEC3B	"Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"
APOBEC3C	27350	APOBEC3C	"Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C"
APOBEC3D	140564	APOBEC3D	"Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D"
APOBEC3F	200316	APOBEC3F	"Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F"
APOBEC3G	60489	APOBEC3G	"Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G"
APOBEC3H	164668	APOBEC3H	"Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H"
APOBEC4	403314	APOBEC4	"Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative)"
APOBR	55911	APOBR	Apolipoprotein B receptor
APOC1	341	APOC1	Apolipoprotein C-I
APOC1P1	342	APOC1P1	Apolipoprotein C-I pseudogene 1
APOC2	344	APOC2	Apolipoprotein C-II
APOC3	345	APOC3	Apolipoprotein C-III
APOC4	346	APOC4	Apolipoprotein C-IV
APOC4-APOC2	100533990	APOC4-APOC2	APOC4-APOC2 readthrough (NMD candidate)
APOD	347	APOD	Apolipoprotein D
APOE	348	APOE	Apolipoprotein E
APOF	319	APOF	Apolipoprotein F
APOH	350	APOH	Apolipoprotein H (beta-2-glycoprotein I)
APOL1	8542	APOL1	"Apolipoprotein L, 1"
APOL2	23780	APOL2	"Apolipoprotein L, 2"
APOL3	80833	APOL3	"Apolipoprotein L, 3"
APOL4	80832	APOL4	"Apolipoprotein L, 4"
APOL5	80831	APOL5	"Apolipoprotein L, 5"
APOL6	80830	APOL6	"Apolipoprotein L, 6"
APOLD1	81575	APOLD1	Apolipoprotein L domain containing 1
APOM	55937	APOM	Apolipoprotein M
APOO	79135	APOO	Apolipoprotein O
APOOL	139322	APOOL	Apolipoprotein O-like
APOPT1	84334	APOPT1	"Apoptogenic 1, mitochondrial"
APP	351	APP	Amyloid beta (A4) precursor protein
APPBP2	10513	APPBP2	Amyloid beta precursor protein (cytoplasmic tail) binding protein 2
APPL1	26060	APPL1	"Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1"
APPL2	55198	APPL2	"Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2"
APRT	353	APRT	Adenine phosphoribosyltransferase
APTX	54840	APTX	Aprataxin
AQP1	358	AQP1	Aquaporin 1 (Colton blood group)
AQP10	89872	AQP10	Aquaporin 10
AQP11	282679	AQP11	Aquaporin 11
AQP12A	375318	AQP12A	Aquaporin 12A
AQP12B	653437	AQP12B	Aquaporin 12B
AQP2	359	AQP2	Aquaporin 2 (collecting duct)
AQP3	360	AQP3	Aquaporin 3 (Gill blood group)
AQP4	361	AQP4	Aquaporin 4
AQP5	362	AQP5	Aquaporin 5
AQP6	363	AQP6	"Aquaporin 6, kidney specific"
AQP7	364	AQP7	Aquaporin 7
AQP7P1	375719	AQP7P1	Aquaporin 7 pseudogene 1
AQP7P3	441432	AQP7P3	Aquaporin 7 pseudogene 3
AQP8	343	AQP8	Aquaporin 8
AQP9	366	AQP9	Aquaporin 9
AQPEP	206338	AQPEP	Laeverin
AQR	9716	AQR	Aquarius homolog (mouse)
AR	367	AR	Androgen receptor
ARAF	369	ARAF	V-raf murine sarcoma 3611 viral oncogene homolog
ARAP1	116985	ARAP1	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
ARAP2	116984	ARAP2	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
ARAP3	64411	ARAP3	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"
ARC	23237	ARC	Activity-regulated cytoskeleton-associated protein
ARCN1	372	ARCN1	Archain 1
AREG	374	AREG	Amphiregulin
ARF1	375	ARF1	ADP-ribosylation factor 1
ARF3	377	ARF3	ADP-ribosylation factor 3
ARF4	378	ARF4	ADP-ribosylation factor 4
ARF5	381	ARF5	ADP-ribosylation factor 5
ARF6	382	ARF6	ADP-ribosylation factor 6
ARFGAP1	55738	ARFGAP1	ADP-ribosylation factor GTPase activating protein 1
ARFGAP2	84364	ARFGAP2	ADP-ribosylation factor GTPase activating protein 2
ARFGAP3	26286	ARFGAP3	ADP-ribosylation factor GTPase activating protein 3
ARFGEF1	10565	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited)
ARFGEF2	10564	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)
ARFIP1	27236	ARFIP1	ADP-ribosylation factor interacting protein 1
ARFIP2	23647	ARFIP2	ADP-ribosylation factor interacting protein 2
ARFRP1	10139	ARFRP1	ADP-ribosylation factor related protein 1
ARG1	383	ARG1	"Arginase, liver"
ARG2	384	ARG2	"Arginase, type II"
ARGFX	503582	ARGFX	Arginine-fifty homeobox
ARGFXP2	503640	ARGFXP2	Arginine-fifty homeobox pseudogene 2
ARGLU1	55082	ARGLU1	Arginine and glutamate rich 1
ARHGAP1	392	ARHGAP1	Rho GTPase activating protein 1
ARHGAP10	79658	ARHGAP10	Rho GTPase activating protein 10
ARHGAP11A	9824	ARHGAP11A	Rho GTPase activating protein 11A
ARHGAP11B	89839	ARHGAP11B	Rho GTPase activating protein 11B
ARHGAP12	94134	ARHGAP12	Rho GTPase activating protein 12
ARHGAP15	55843	ARHGAP15	Rho GTPase activating protein 15
ARHGAP17	55114	ARHGAP17	Rho GTPase activating protein 17
ARHGAP18	93663	ARHGAP18	Rho GTPase activating protein 18
ARHGAP19	84986	ARHGAP19	Rho GTPase activating protein 19
ARHGAP19-SLIT1	100533184	ARHGAP19-SLIT1	ARHGAP19-SLIT1 readthrough (NMD candidate)
ARHGAP20	57569	ARHGAP20	Rho GTPase activating protein 20
ARHGAP21	57584	ARHGAP21	Rho GTPase activating protein 21
ARHGAP22	58504	ARHGAP22	Rho GTPase activating protein 22
ARHGAP23	57636	ARHGAP23	Rho GTPase activating protein 23
ARHGAP24	83478	ARHGAP24	Rho GTPase activating protein 24
ARHGAP25	9938	ARHGAP25	Rho GTPase activating protein 25
ARHGAP26	23092	ARHGAP26	Rho GTPase activating protein 26
ARHGAP27	201176	ARHGAP27	Rho GTPase activating protein 27
ARHGAP28	79822	ARHGAP28	Rho GTPase activating protein 28
ARHGAP29	9411	ARHGAP29	Rho GTPase activating protein 29
ARHGAP30	257106	ARHGAP30	Rho GTPase activating protein 30
ARHGAP31	57514	ARHGAP31	Rho GTPase activating protein 31
ARHGAP32	9743	ARHGAP32	Rho GTPase activating protein 32
ARHGAP33	115703	ARHGAP33	Rho GTPase activating protein 33
ARHGAP35	2909	ARHGAP35	Rho GTPase activating protein 35
ARHGAP36	158763	ARHGAP36	Rho GTPase activating protein 36
ARHGAP39	80728	ARHGAP39	Rho GTPase activating protein 39
ARHGAP4	393	ARHGAP4	Rho GTPase activating protein 4
ARHGAP40	343578	ARHGAP40	Rho GTPase activating protein 40
ARHGAP42	143872	ARHGAP42	Rho GTPase activating protein 42
ARHGAP44	9912	ARHGAP44	Rho GTPase activating protein 44
ARHGAP5	394	ARHGAP5	Rho GTPase activating protein 5
ARHGAP5-AS1	84837	ARHGAP5-AS1	ARHGAP5 antisense RNA 1 (head to head)
ARHGAP6	395	ARHGAP6	Rho GTPase activating protein 6
ARHGAP8	23779	ARHGAP8	Rho GTPase activating protein 8
ARHGAP9	64333	ARHGAP9	Rho GTPase activating protein 9
ARHGDIA	396	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha
ARHGDIB	397	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta
ARHGDIG	398	ARHGDIG	Rho GDP dissociation inhibitor (GDI) gamma
ARHGEF1	9138	ARHGEF1	Rho guanine nucleotide exchange factor (GEF) 1
ARHGEF10	9639	ARHGEF10	Rho guanine nucleotide exchange factor (GEF) 10
ARHGEF10L	55160	ARHGEF10L	Rho guanine nucleotide exchange factor (GEF) 10-like
ARHGEF11	9826	ARHGEF11	Rho guanine nucleotide exchange factor (GEF) 11
ARHGEF12	23365	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12
ARHGEF15	22899	ARHGEF15	Rho guanine nucleotide exchange factor (GEF) 15
ARHGEF16	27237	ARHGEF16	Rho guanine nucleotide exchange factor (GEF) 16
ARHGEF17	9828	ARHGEF17	Rho guanine nucleotide exchange factor (GEF) 17
ARHGEF18	23370	ARHGEF18	Rho/Rac guanine nucleotide exchange factor (GEF) 18
ARHGEF19	128272	ARHGEF19	Rho guanine nucleotide exchange factor (GEF) 19
ARHGEF2	9181	ARHGEF2	Rho/Rac guanine nucleotide exchange factor (GEF) 2
ARHGEF25	115557	ARHGEF25	Rho guanine nucleotide exchange factor (GEF) 25
ARHGEF26	26084	ARHGEF26	Rho guanine nucleotide exchange factor (GEF) 26
ARHGEF26-AS1	100507524	ARHGEF26-AS1	ARHGEF26 antisense RNA 1
ARHGEF3	50650	ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3
ARHGEF33	100271715	ARHGEF33	Rho guanine nucleotide exchange factor (GEF) 33
ARHGEF35	445328	ARHGEF35	Rho guanine nucleotide exchange factor (GEF) 35
ARHGEF37	389337	ARHGEF37	Rho guanine nucleotide exchange factor (GEF) 37
ARHGEF38	54848	ARHGEF38	Rho guanine nucleotide exchange factor (GEF) 38
ARHGEF4	50649	ARHGEF4	Rho guanine nucleotide exchange factor (GEF) 4
ARHGEF40	55701	ARHGEF40	Rho guanine nucleotide exchange factor (GEF) 40
ARHGEF5	7984	ARHGEF5	Rho guanine nucleotide exchange factor (GEF) 5
ARHGEF6	9459	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6
ARHGEF7	8874	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7
ARHGEF9	23229	ARHGEF9	Cdc42 guanine nucleotide exchange factor (GEF) 9
ARID1A	8289	ARID1A	AT rich interactive domain 1A (SWI-like)
ARID1B	57492	ARID1B	AT rich interactive domain 1B (SWI1-like)
ARID2	196528	ARID2	"AT rich interactive domain 2 (ARID, RFX-like)"
ARID3A	1820	ARID3A	AT rich interactive domain 3A (BRIGHT-like)
ARID3B	10620	ARID3B	AT rich interactive domain 3B (BRIGHT-like)
ARID3C	138715	ARID3C	AT rich interactive domain 3C (BRIGHT-like)
ARID4A	5926	ARID4A	AT rich interactive domain 4A (RBP1-like)
ARID4B	51742	ARID4B	AT rich interactive domain 4B (RBP1-like)
ARID5A	10865	ARID5A	AT rich interactive domain 5A (MRF1-like)
ARID5B	84159	ARID5B	AT rich interactive domain 5B (MRF1-like)
ARIH1	25820	ARIH1	"Ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)"
ARIH2	10425	ARIH2	Ariadne homolog 2 (Drosophila)
ARL1	400	ARL1	ADP-ribosylation factor-like 1
ARL10	285598	ARL10	ADP-ribosylation factor-like 10
ARL11	115761	ARL11	ADP-ribosylation factor-like 11
ARL13A	392509	ARL13A	ADP-ribosylation factor-like 13A
ARL13B	200894	ARL13B	ADP-ribosylation factor-like 13B
ARL14	80117	ARL14	ADP-ribosylation factor-like 14
ARL15	54622	ARL15	ADP-ribosylation factor-like 15
ARL16	339231	ARL16	ADP-ribosylation factor-like 16
ARL17A	51326	ARL17A	ADP-ribosylation factor-like 17A
ARL17B	100506084	ARL17B	ADP-ribosylation factor-like 17B
ARL2	402	ARL2	ADP-ribosylation factor-like 2
ARL2-SNX15	100528018	ARL2-SNX15	ARL2-SNX15 readthrough (NMD candidate)
ARL2BP	23568	ARL2BP	ADP-ribosylation factor-like 2 binding protein
ARL3	403	ARL3	ADP-ribosylation factor-like 3
ARL4A	10124	ARL4A	ADP-ribosylation factor-like 4A
ARL4C	10123	ARL4C	ADP-ribosylation factor-like 4C
ARL4D	379	ARL4D	ADP-ribosylation factor-like 4D
ARL5A	26225	ARL5A	ADP-ribosylation factor-like 5A
ARL5B	221079	ARL5B	ADP-ribosylation factor-like 5B
ARL5C	390790	ARL5C	ADP-ribosylation factor-like 5C
ARL6	84100	ARL6	ADP-ribosylation factor-like 6
ARL6IP1	23204	ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1
ARL6IP4	51329	ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4
ARL6IP5	10550	ARL6IP5	ADP-ribosylation-like factor 6 interacting protein 5
ARL6IP6	151188	ARL6IP6	ADP-ribosylation-like factor 6 interacting protein 6
ARL8A	127829	ARL8A	ADP-ribosylation factor-like 8A
ARL8B	55207	ARL8B	ADP-ribosylation factor-like 8B
ARL9	132946	ARL9	ADP-ribosylation factor-like 9
ARMC1	55156	ARMC1	Armadillo repeat containing 1
ARMC10	83787	ARMC10	Armadillo repeat containing 10
ARMC12	221481	ARMC12	Armadillo repeat containing 12
ARMC2	84071	ARMC2	Armadillo repeat containing 2
ARMC3	219681	ARMC3	Armadillo repeat containing 3
ARMC4	55130	ARMC4	Armadillo repeat containing 4
ARMC5	79798	ARMC5	Armadillo repeat containing 5
ARMC6	93436	ARMC6	Armadillo repeat containing 6
ARMC7	79637	ARMC7	Armadillo repeat containing 7
ARMC8	25852	ARMC8	Armadillo repeat containing 8
ARMC9	80210	ARMC9	Armadillo repeat containing 9
ARMCX1	51309	ARMCX1	"Armadillo repeat containing, X-linked 1"
ARMCX2	9823	ARMCX2	"Armadillo repeat containing, X-linked 2"
ARMCX3	51566	ARMCX3	"Armadillo repeat containing, X-linked 3"
ARMCX4	100131755	ARMCX4	"Armadillo repeat containing, X-linked 4"
ARMCX5	64860	ARMCX5	"Armadillo repeat containing, X-linked 5"
ARMCX5-GPRASP2	100528062	ARMCX5-GPRASP2	ARMCX5-GPRASP2 readthrough
ARMCX6	54470	ARMCX6	"Armadillo repeat containing, X-linked 6"
ARMS2	387715	ARMS2	Age-related maculopathy susceptibility 2
ARNT	405	ARNT	Aryl hydrocarbon receptor nuclear translocator
ARNT2	9915	ARNT2	Aryl-hydrocarbon receptor nuclear translocator 2
ARNTL	406	ARNTL	Aryl hydrocarbon receptor nuclear translocator-like
ARNTL2	56938	ARNTL2	Aryl hydrocarbon receptor nuclear translocator-like 2
ARPC1A	10552	ARPC1A	"Actin related protein 2/3 complex, subunit 1A, 41kDa"
ARPC1B	10095	ARPC1B	"Actin related protein 2/3 complex, subunit 1B, 41kDa"
ARPC2	10109	ARPC2	"Actin related protein 2/3 complex, subunit 2, 34kDa"
ARPC3	10094	ARPC3	"Actin related protein 2/3 complex, subunit 3, 21kDa"
ARPC4	10093	ARPC4	"Actin related protein 2/3 complex, subunit 4, 20kDa"
ARPC4-TTLL3	100526693	ARPC4-TTLL3	ARPC4-TTLL3 readthrough
ARPC5	10092	ARPC5	"Actin related protein 2/3 complex, subunit 5, 16kDa"
ARPC5L	81873	ARPC5L	"Actin related protein 2/3 complex, subunit 5-like"
ARPM1	84517	ARPM1	Actin-related protein T3
ARPP19	10776	ARPP19	"CAMP-regulated phosphoprotein, 19kDa"
ARPP21	10777	ARPP21	"CAMP-regulated phosphoprotein, 21kDa"
ARR3	407	ARR3	"Arrestin 3, retinal (X-arrestin)"
ARRB1	408	ARRB1	"Arrestin, beta 1"
ARRB2	409	ARRB2	"Arrestin, beta 2"
ARRDC1	92714	ARRDC1	Arrestin domain containing 1
ARRDC2	27106	ARRDC2	Arrestin domain containing 2
ARRDC3	57561	ARRDC3	Arrestin domain containing 3
ARRDC4	91947	ARRDC4	Arrestin domain containing 4
ARRDC5	645432	ARRDC5	Arrestin domain containing 5
ARSA	410	ARSA	Arylsulfatase A
ARSB	411	ARSB	Arylsulfatase B
ARSD	414	ARSD	Arylsulfatase D
ARSE	415	ARSE	Arylsulfatase E (chondrodysplasia punctata 1)
ARSF	416	ARSF	Arylsulfatase F
ARSG	22901	ARSG	Arylsulfatase G
ARSH	347527	ARSH	"Arylsulfatase family, member H"
ARSI	340075	ARSI	"Arylsulfatase family, member I"
ARSJ	79642	ARSJ	"Arylsulfatase family, member J"
ARSK	153642	ARSK	"Arylsulfatase family, member K"
ART1	417	ART1	ADP-ribosyltransferase 1
ART3	419	ART3	ADP-ribosyltransferase 3
ART4	420	ART4	ADP-ribosyltransferase 4 (Dombrock blood group)
ART5	116969	ART5	ADP-ribosyltransferase 5
ARTN	9048	ARTN	Artemin
ARV1	64801	ARV1	ARV1 homolog (S. cerevisiae)
ARVCF	421	ARVCF	armadillo repeat gene deleted in velocardiofacial syndrome
ARX	170302	ARX	Aristaless related homeobox
AS3MT	57412	AS3MT	Arsenic (+3 oxidation state) methyltransferase
ASAH1	427	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1
ASAH2	56624	ASAH2	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2
ASAH2B	653308	ASAH2B	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2B
ASAP1	50807	ASAP1	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
ASAP1-IT1	29065	ASAP1-IT1	ASAP1 intronic transcript 1 (non-protein coding)
ASAP2	8853	ASAP2	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"
ASAP3	55616	ASAP3	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"
ASB1	51665	ASB1	Ankyrin repeat and SOCS box containing 1
ASB10	136371	ASB10	Ankyrin repeat and SOCS box containing 10
ASB11	140456	ASB11	Ankyrin repeat and SOCS box containing 11
ASB12	142689	ASB12	Ankyrin repeat and SOCS box containing 12
ASB13	79754	ASB13	Ankyrin repeat and SOCS box containing 13
ASB14	142686	ASB14	Ankyrin repeat and SOCS box containing 14
ASB15	142685	ASB15	Ankyrin repeat and SOCS box containing 15
ASB16	92591	ASB16	Ankyrin repeat and SOCS box containing 16
ASB17	127247	ASB17	Ankyrin repeat and SOCS box containing 17
ASB18	401036	ASB18	Ankyrin repeat and SOCS box containing 18
ASB2	51676	ASB2	Ankyrin repeat and SOCS box containing 2
ASB3	51130	ASB3	Ankyrin repeat and SOCS box containing 3
ASB4	51666	ASB4	Ankyrin repeat and SOCS box containing 4
ASB5	140458	ASB5	Ankyrin repeat and SOCS box containing 5
ASB6	140459	ASB6	Ankyrin repeat and SOCS box containing 6
ASB7	140460	ASB7	Ankyrin repeat and SOCS box containing 7
ASB8	140461	ASB8	Ankyrin repeat and SOCS box containing 8
ASB9	140462	ASB9	Ankyrin repeat and SOCS box containing 9
ASB9P1	728619	ASB9P1	Ankyrin repeat and SOCS box containing 9 pseudogene 1
ASCC1	51008	ASCC1	Activating signal cointegrator 1 complex subunit 1
ASCC2	84164	ASCC2	Activating signal cointegrator 1 complex subunit 2
ASCC3	10973	ASCC3	Activating signal cointegrator 1 complex subunit 3
ASCL1	429	ASCL1	Achaete-scute complex homolog 1 (Drosophila)
ASCL2	430	ASCL2	Achaete-scute complex homolog 2 (Drosophila)
ASCL3	56676	ASCL3	Achaete-scute complex homolog 3 (Drosophila)
ASCL4	121549	ASCL4	Achaete-scute complex homolog 4 (Drosophila)
ASF1A	25842	ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)
ASF1B	55723	ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)
ASGR1	432	ASGR1	Asialoglycoprotein receptor 1
ASGR2	433	ASGR2	Asialoglycoprotein receptor 2
ASH1L	55870	ASH1L	"Ash1 (absent, small, or homeotic)-like (Drosophila)"
ASH2L	9070	ASH2L	"Ash2 (absent, small, or homeotic)-like (Drosophila)"
ASIP	434	ASIP	Agouti signaling protein
ASL	435	ASL	Argininosuccinate lyase
ASMT	438	ASMT	Acetylserotonin O-methyltransferase
ASMTL	8623	ASMTL	Acetylserotonin O-methyltransferase-like
ASMTL-AS1	80161	ASMTL-AS1	ASMTL antisense RNA 1
ASNA1	439	ASNA1	"ArsA arsenite transporter, ATP-binding, homolog 1 (bacterial)"
ASNS	440	ASNS	Asparagine synthetase (glutamine-hydrolyzing)
ASNSD1	54529	ASNSD1	Asparagine synthetase domain containing 1
ASPA	443	ASPA	Aspartoacylase
ASPDH	554235	ASPDH	Aspartate dehydrogenase domain containing
ASPG	374569	ASPG	Asparaginase homolog (S. cerevisiae)
ASPH	444	ASPH	Aspartate beta-hydroxylase
ASPHD1	253982	ASPHD1	Aspartate beta-hydroxylase domain containing 1
ASPHD2	57168	ASPHD2	Aspartate beta-hydroxylase domain containing 2
ASPM	259266	ASPM	"Asp (abnormal spindle) homolog, microcephaly associated (Drosophila)"
ASPN	54829	ASPN	Asporin
ASPRV1	151516	ASPRV1	"Aspartic peptidase, retroviral-like 1"
ASPSCR1	79058	ASPSCR1	"Alveolar soft part sarcoma chromosome region, candidate 1"
ASRGL1	80150	ASRGL1	Asparaginase like 1
ASS1	445	ASS1	Argininosuccinate synthase 1
ASTE1	28990	ASTE1	Asteroid homolog 1 (Drosophila)
ASTL	431705	ASTL	Astacin-like metallo-endopeptidase (M12 family)
ASTN1	460	ASTN1	Astrotactin 1
ASTN2	23245	ASTN2	Astrotactin 2
ASUN	55726	ASUN	"Asunder, spermatogenesis regulator"
ASXL1	171023	ASXL1	Additional sex combs like 1 (Drosophila)
ASXL2	55252	ASXL2	Additional sex combs like 2 (Drosophila)
ASXL3	80816	ASXL3	Additional sex combs like 3 (Drosophila)
ASZ1	136991	ASZ1	"Ankyrin repeat, SAM and basic leucine zipper domain containing 1"
ATAD1	84896	ATAD1	"ATPase family, AAA domain containing 1"
ATAD2	29028	ATAD2	"ATPase family, AAA domain containing 2"
ATAD2B	54454	ATAD2B	"ATPase family, AAA domain containing 2B"
ATAD3A	55210	ATAD3A	"ATPase family, AAA domain containing 3A"
ATAD3B	83858	ATAD3B	"ATPase family, AAA domain containing 3B"
ATAD3C	219293	ATAD3C	"ATPase family, AAA domain containing 3C"
ATAD5	79915	ATAD5	"ATPase family, AAA domain containing 5"
ATAT1	79969	ATAT1	Alpha tubulin acetyltransferase 1
ATCAY	85300	ATCAY	"Ataxia, cerebellar, Cayman type"
ATE1	11101	ATE1	Arginyltransferase 1
ATF1	466	ATF1	Activating transcription factor 1
ATF2	1386	ATF2	Activating transcription factor 2
ATF3	467	ATF3	Activating transcription factor 3
ATF4	468	ATF4	Activating transcription factor 4 (tax-responsive enhancer element B67)
ATF5	22809	ATF5	Activating transcription factor 5
ATF6	22926	ATF6	Activating transcription factor 6
ATF6B	1388	ATF6B	Activating transcription factor 6 beta
ATF7	11016	ATF7	Activating transcription factor 7
ATF7IP	55729	ATF7IP	Activating transcription factor 7 interacting protein
ATF7IP2	80063	ATF7IP2	Activating transcription factor 7 interacting protein 2
ATG10	83734	ATG10	Autophagy related 10
ATG12	9140	ATG12	Autophagy related 12
ATG13	9776	ATG13	Autophagy related 13
ATG14	22863	ATG14	Autophagy related 14
ATG16L1	55054	ATG16L1	Autophagy related 16-like 1 (S. cerevisiae)
ATG16L2	89849	ATG16L2	Autophagy related 16-like 2 (S. cerevisiae)
ATG2A	23130	ATG2A	Autophagy related 2A
